VAMC,Station No.,VA Funded,FY26 Q2 PubTracker Count,FY26 Q2 Dimensions Count,"FY26 Q2
% Entered"
VA Central Office; United States Department of Veterans Affairs; Veterans Health Administration,101,,8,276,2%
"Togus VA Medical Center (Togus, ME)",402,Y,1,2,50%
White River Junction VA Medical Center,405,Y,20,35,57%
VA Montana Health Care System,436,,0,1,0%
Fargo VA Health Care System,437,Y,0,1,0%
Sioux Falls VA Health Care System,438,Y,12,4,300%
"Robert J. Dole VA Medical Center (Wichita, KS)",452,Y,0,1,0%
"VA Pacific Islands Health Care System (Honolulu, HI)",459,Y,0,10,0%
Wilmington VA Medical Center,460,Y,0,0,100%
Alaska VA HCS (Not in VA Dimensions),463,,0,0,100%
"New Mexico VA Health Care System; Raymond G. Murphy VA Medical Center (Albuquerque, NM)",501,Y,5,10,50%
VA Alexandria (Not in VA Dimensions),502,,0,0,100%
Amarillo VA Health Care System,504,,0,0,100%
VA Ann Arbor Healthcare System; Ann Arbor VA Medical Center,506,Y,328,86,381%
Atlanta VA Health Care System; Atlanta VA Medical Center,508,Y,3,82,4%
"Charlie Norwood VA Medical Center (Augusta, GA)",509,Y,0,8,0%
Baltimore VA Medical Center; Perry Point VA Medical Center; VA Maryland Health Care System,512,Y,2,42,5%
Battle Creek VA Medical Center,515,Y,0,0,100%
C.W. Bill Young VA Medical Center; Bay Pines VA Healthcare System,516,Y,0,1,0%
"Edith Nourse Rogers Memorial Veterans Hospital; VA Bedford Healthcare System (Bedford, MA)",518,,11,52,21%
Birmingham VA Medical Center,521,Y,1,25,4%
"James J. Peters VA Medical Center (includes East Orange, Bronx)",526,Y,8,68,12%
VA NY Harbor Healthcare System (includes Brooklyn and Manhattan),527,Y,19,19,100%
VA Western New York Healthcare System; Buffalo VA Medical Center; VA Western New York Healthcare System at Batavia,528,Y,7,8,88%
"VA Butler Healthcare (Butler, PA)",529,,0,0,100%
Boise VA Medical Center,531,Y,1,7,14%
Canandaigua VA Medical Center; VA Finger Lakes Healthcare System,532,Y,2,6,33%
"Ralph H. Johnson VA Medical Center (Charleston, SC)",534,Y,0,37,0%
"Jesse Brown VA Medical Center (Chicago, IL)",537,Y,1,37,3%
Chillicothe VA Medical Center,538,,0,1,0%
Cincinnati VA Medical Center,539,Y,0,13,0%
Louis Stokes Cleveland VA Medical Center,541,Y,5,56,9%
Coatesville Veterans Affairs Medical Center,542,Y,0,1,0%
"Harry S. Truman Memorial Veterans' Hospital (Columbia, MO)",543,Y,19,16,119%
Wm. Jennings Bryan Dorn VA Medical Center; Columbia VA Health Care System,544,Y,1,9,11%
Miami VA Healthcare System; Bruce W. Carter VA Medical Center,546,Y,1,42,2%
West Palm Beach VA Medical Center,548,Y,0,3,0%
"VA North Texas Health Care System (Dallas, TX)",549,Y,12,19,63%
VA Illiana Health Care System,550,,0,0,100%
Dayton VA Medical Center,552,Y,1,7,14%
"John D. Dingell VA Medical Center (Detroit, MI)",553,Y,2,11,18%
"VA Eastern Colorado Health Care System; Denver VA Medical Center; VA Rocky Mountain Network; VA Rocky Mountain Mental Illness Research, Education and Clinical Center",554,Y,22,58,38%
Carl Vinson VA Medical Center,557,,0,0,0%
Durham VA Medical Center; Durham VA Health Care System,558,Y,17,120,14%
Veterans Health Care System of the Ozarks; Fayetteville VA Medical Center,564; 565,,0,2,0%
VA Central California Health Care System; Fresno VA Medical Center,570,Y,0,0,100%
"Malcom Randall VA Medical Center; North Florida/South Georgia Veterans Health System (Gainesville, FL)",573,Y,8,26,31%
VA Western Colorado (Grand Junction),575,Y,1,0,
"Edward Hines, Jr. VA Hospital",578,Y,15,78,19%
"Michael E. DeBakey VA Medical Center (Houston, TX)",580,Y,36,99,36%
"Hershel Woody Williams VA Medical Center (Huntington, WV)",581,Y,2,0,
"Richard L. Roudebush VA Medical Center (Indianapolis, IL)",583,Y,13,43,30%
"G.V. (Sonny) Montgomery VA Medical Center (Jackson, MS)",586,Y,0,3,0%
Kansas City VA Medical Center,589,Y,14,14,100%
Hampton VA Medical Center,590,Y,0,0,100%
"VA Southern Nevada Healthcare System (Las Vegas, NV)",593,Y,0,4,0%
"Lebanon VA Medical Center (Lebanon, PA)",595,Y,0,0,0%
Lexington VA Health Care System,596,Y,5,5,100%
VA Long Beach Healthcare System; Tibor Rubin VA Medical Center,600,Y,3,20,15%
"Louisville VA Medical Center (AKA: Robley Rex VA, Louisville, KY)",603,Y,0,8,0%
VA Loma Linda Healthcare System; Jerry L. Pettis Memorial VA Medical Center,605,Y,4,9,44%
"William S. Middleton Memorial Veterans Hospital (Madison, WI)",607,Y,2,55,4%
Manchester VA Medical Center,608,Y,0,4,0%
VA Northern California Health Care System; Sacramento VA Medical Center,612,Y,2,17,12%
Martinsburg VA Medical Center,613,,0,0,100%
Memphis VA Medical Center,614,Y,1,14,7%
Minneapolis VA Health Care System; Minneapolis VA Medical Center,618,Y,36,69,52%
"VA Hudson Valley Health Care System (includes Castle Point Campus and Montrose, NY)",620,Y,0,0,100%
"Mountain Home VA Healthcare System; James H. Quillen VA Medical Center (Johnson City, TN)",621,Y,1,2,50%
Eastern Oklahoma VA Health Care System; Jack C. Montgomery VA Medical Center,623,Y,0,0,100%
VA Tennessee Valley Healthcare System; Nashville VA Medical Center,626,Y,4,66,6%
Southeast Louisiana Veterans Health Care System (New Orleans),629,Y,1,17,6%
"VA Central Western Massachusetts Healthcare System (Northampton, MA)",631,Y,1,5,20%
"Northport VA Medical Center (Fort Salonga, New York)",632,Y,1,16,6%
Oklahoma City VA Medical Center; Oklahoma City VA Health Care System,635,Y,1,21,5%
Omaha VA Medical Center; VA Nebraska Western Iowa Health Care System,636,Y,65,17,382%
"Charles George VA Medical Center (Asheville, NC)",637,Y,0,1,0%
Philadelphia VA Medical Center,642,Y,49,119,41%
Phoenix VA Health Care System; Carl T. Hayden Veterans Affairs Medical Center,644,Y,0,10,0%
Portland VA Medical Center; VA Portland Health Care System,648,Y,40,81,49%
Northern Arizona VA Health Care System,649,Y,0,0,100%
Providence VA Medical Center,650,Y,22,44,50%
"Hunter Holmes McGuire VA Medical Center (Richmond, VA)",652,Y,8,17,47%
"VA Sierra Nevada Health Care System (Reno, NV)",654,Y,1,1,100%
St. Cloud VA Health Care System,656,,0,1,0%
St. Louis VA Medical Center; VA St. Louis Health Care System; John Cochran VA Medical Center,657,Y,4,31,13%
"Salem VA Medical Center (Salem, VA)",658,Y,3,2,150%
"W. G. (Bill) Hefner VA Medical Center (Salisbury, NC)",659,Y,2,4,50%
VA Salt Lake City Health care System; George E. Wahlen Department of VA Medical Center,660,Y,23,103,22%
San Francisco VA Medical Center; San Francisco VA Health Care System,662,Y,9,132,7%
VA San Diego Healthcare System,664,Y,171,100,171%
VA Sepulveda Ambulatory Care Center,665,Y,0,0,100%
"Overton Brooks VA Medical Center (Shreveport, LA)",667,Y,0,1,0%
"Mann-Grandstaff VA Medical Center (Spokane, WA)",668,Y,0,0,100%
Audie L. Murphy Memorial VA Hospital; VA South Texas Health Care System,671,,3,47,6%
"VA Caribbean Healthcare System (San Juan, PR)",672,Y,6,16,38%
"James A. Haley Veterans' Hospital (Tampa, FL)",673,Y,1,31,3%
"Central Texas Veterans Health Care System; Olin E. Teague VA Medical Center (Temple, TX)",674,Y,1,8,13%
Orlando VA Medical Center,675,Y,0,8,0%
"Southern Arizona VA Health Care System (Tucson, AZ)",678,Y,0,5,0%
Tuscaloosa VA Medical Center,679,Y,1,5,20%
Jonathan M. Wainwright Memorial VAMC - Walla Walla VA (Not in VA Dimensions),687,,0,0,100%
Washington DC VA Medical Center,688,Y,16,29,55%
"VA Connecticut Healthcare System (West Haven, CT)",689,Y,12,134,9%
VA West Los Angeles Medical Center; VA Greater Los Angeles Healthcare System,691,Y,17,164,10%
Wilkes-Barre VA Medical Center,693,Y,0,0,100%
Milwaukee VA Medical Center (includes Clement J. Zablocki VAMC),695,Y,1,17,6%
El Paso VA Health Care System,756,,0,0,0%
"VA Boston Healthcare System; Sam Rayburn Memorial Veterans Center (includes Brockton, Jamaica Plain, West Roxbury)","523, 523A4, 525, 549A4",Y,45,180,25%
Syracuse VA Medical Center,528A7,Y,1,4,25%
Albany Stratton VA Medical Center,528A8,Y,10,7,143%
VA New Jersey Health Care System; New York/New Jersey VA Health Care Network; East Orange VA Medical Center (includes Lyons),"561, 561A4",Y,5,9,56%
Iowa City VA Health Care System; Iowa City VA Medical Center,"584, 636A8",Y,33,42,79%
VA Eastern Kansas Health Care System; Dwight D. Eisenhower VA Medical Center; Colmery-O'Neil VA Medical Center,"589A5, 589A6",Y,1,4,25%
Central Arkansas Veterans Healthcare System; John L. McClellan Memorial Veterans Hospital (includes Eugene J. Towbin),"598, 598NLR",Y,44,35,126%
Central Alabama Veterans Health Care System,619A4,,0,0,100%
"VA Central Iowa Health Care System (Des Moines, IA)",636A6,,0,0,100%
VA Palo Alto Health Care System (includes Menlo Park),"640, 640MPD",Y,34,181,19%
VA Pittsburgh Healthcare System (includes H.J. Heinz Campus),"646, 646A4",Y,27,67,40%
VA Puget Sound Health Care System (includes American Lake),"663, 663A4",Y,24,115,21%
"Doris Miller VA Medical Center (Waco, TX)",674A4,,4,2,200%
"VA Sunshine Healthcare Network (St. Petersburg, FL)",,,0,0,100%
TOTAL,,,1343,3545,38%
