vamc_display,station_no,va_funded,not_in_dimensions,alt_station_nos
VA Central Office; United States Department of Veterans Affairs; Veterans Health Administration,101,,False,101
"Togus VA Medical Center (Togus, ME)",402,Y,False,402
White River Junction VA Medical Center,405,Y,False,405
VA Montana Health Care System,436,,False,436
Fargo VA Health Care System,437,Y,False,437
Sioux Falls VA Health Care System,438,Y,False,438
"Robert J. Dole VA Medical Center (Wichita, KS)",452,Y,False,452
"VA Pacific Islands Health Care System (Honolulu, HI)",459,Y,False,459
Wilmington VA Medical Center,460,Y,False,460
Alaska VA HCS (Not in VA Dimensions),463,,True,463
"New Mexico VA Health Care System; Raymond G. Murphy VA Medical Center (Albuquerque, NM)",501,Y,False,501
VA Alexandria (Not in VA Dimensions),502,,True,502
Amarillo VA Health Care System,504,,False,504
VA Ann Arbor Healthcare System; Ann Arbor VA Medical Center,506,Y,False,506
Atlanta VA Health Care System; Atlanta VA Medical Center,508,Y,False,508
"Charlie Norwood VA Medical Center (Augusta, GA)",509,Y,False,509
Baltimore VA Medical Center; Perry Point VA Medical Center; VA Maryland Health Care System,512,Y,False,512
Battle Creek VA Medical Center,515,Y,False,515
C.W. Bill Young VA Medical Center; Bay Pines VA Healthcare System,516,Y,False,516
"Edith Nourse Rogers Memorial Veterans Hospital; VA Bedford Healthcare System (Bedford, MA)",518,,False,518
Birmingham VA Medical Center,521,Y,False,521
"James J. Peters VA Medical Center (includes East Orange, Bronx)",526,Y,False,526
VA NY Harbor Healthcare System (includes Brooklyn and Manhattan),527,Y,False,527; 630; 630A4
VA Western New York Healthcare System; Buffalo VA Medical Center; VA Western New York Healthcare System at Batavia,528,Y,False,528; 528A4
"VA Butler Healthcare (Butler, PA)",529,,False,529
Boise VA Medical Center,531,Y,False,531
Canandaigua VA Medical Center; VA Finger Lakes Healthcare System,532,Y,False,532; 528A5
"Ralph H. Johnson VA Medical Center (Charleston, SC)",534,Y,False,534
"Jesse Brown VA Medical Center (Chicago, IL)",537,Y,False,537
Chillicothe VA Medical Center,538,,False,538
Cincinnati VA Medical Center,539,Y,False,539
Louis Stokes Cleveland VA Medical Center,541,Y,False,541
Coatesville Veterans Affairs Medical Center,542,Y,False,542
"Harry S. Truman Memorial Veterans' Hospital (Columbia, MO)",543,Y,False,543; 589A4
Wm. Jennings Bryan Dorn VA Medical Center; Columbia VA Health Care System,544,Y,False,544
Miami VA Healthcare System; Bruce W. Carter VA Medical Center,546,Y,False,546
West Palm Beach VA Medical Center,548,Y,False,548
"VA North Texas Health Care System (Dallas, TX)",549,Y,False,549
VA Illiana Health Care System,550,,False,550
Dayton VA Medical Center,552,Y,False,552
"John D. Dingell VA Medical Center (Detroit, MI)",553,Y,False,553
"VA Eastern Colorado Health Care System; Denver VA Medical Center; VA Rocky Mountain Network; VA Rocky Mountain Mental Illness Research, Education and Clinical Center",554,Y,False,554
Carl Vinson VA Medical Center,557,,False,557
Durham VA Medical Center; Durham VA Health Care System,558,Y,False,558
Veterans Health Care System of the Ozarks; Fayetteville VA Medical Center,564; 565,,False,564; 565
VA Central California Health Care System; Fresno VA Medical Center,570,Y,False,570
"Malcom Randall VA Medical Center; North Florida/South Georgia Veterans Health System (Gainesville, FL)",573,Y,False,573
VA Western Colorado (Grand Junction),575,Y,False,575
"Edward Hines, Jr. VA Hospital",578,Y,False,578
"Michael E. DeBakey VA Medical Center (Houston, TX)",580,Y,False,580
"Hershel Woody Williams VA Medical Center (Huntington, WV)",581,Y,False,581
"Richard L. Roudebush VA Medical Center (Indianapolis, IL)",583,Y,False,583
"G.V. (Sonny) Montgomery VA Medical Center (Jackson, MS)",586,Y,False,586
Kansas City VA Medical Center,589,Y,False,589
Hampton VA Medical Center,590,Y,False,590
"VA Southern Nevada Healthcare System (Las Vegas, NV)",593,Y,False,593
"Lebanon VA Medical Center (Lebanon, PA)",595,Y,False,595
Lexington VA Health Care System,596,Y,False,596; 596A4
VA Long Beach Healthcare System; Tibor Rubin VA Medical Center,600,Y,False,600
"Louisville VA Medical Center (AKA: Robley Rex VA, Louisville, KY)",603,Y,False,603
VA Loma Linda Healthcare System; Jerry L. Pettis Memorial VA Medical Center,605,Y,False,605
"William S. Middleton Memorial Veterans Hospital (Madison, WI)",607,Y,False,607
Manchester VA Medical Center,608,Y,False,608
VA Northern California Health Care System; Sacramento VA Medical Center,612,Y,False,612
Martinsburg VA Medical Center,613,,False,613
Memphis VA Medical Center,614,Y,False,614
Minneapolis VA Health Care System; Minneapolis VA Medical Center,618,Y,False,618
"VA Hudson Valley Health Care System (includes Castle Point Campus and Montrose, NY)",620,Y,False,620
"Mountain Home VA Healthcare System; James H. Quillen VA Medical Center (Johnson City, TN)",621,Y,False,621
Eastern Oklahoma VA Health Care System; Jack C. Montgomery VA Medical Center,623,Y,False,623
VA Tennessee Valley Healthcare System; Nashville VA Medical Center,626,Y,False,626
Southeast Louisiana Veterans Health Care System (New Orleans),629,Y,False,629
