Fields of Research (ANZSRC 2020),RCDC Categories,HRCS HC Categories
"30 Agricultural, Veterinary and Food Sciences",ALS,Blood
3005 Fisheries Sciences,Acquired Cognitive Impairment,Cancer
3009 Veterinary Sciences,Acute Respiratory Distress Syndrome,Cardiovascular
31 Biological Sciences,Adolescent Sexual Activity,Congenital
3101 Biochemistry and Cell Biology,Agent Orange & Dioxin,Disputed aetiology and other
3102 Bioinformatics and Computational Biology,Aging,Ear
3103 Ecology,"Alcoholism, Alcohol Use and Health",Eye
3104 Evolutionary Biology,Alzheimer's Disease,Generic health relevance
3105 Genetics,Alzheimer's Disease Related Dementias (ADRD),Infection
3107 Microbiology,Alzheimer's Disease including Alzheimer's Disease Related Dementias (AD/ADRD),Inflammatory and immune system
3109 Zoology,American Indian or Alaska Native,Injuries and accidents
32 Biomedical and Clinical Sciences,Antimicrobial Resistance,Mental health
3201 Cardiovascular Medicine and Haematology,Anxiety Disorders,Metabolic and endocrine
3202 Clinical Sciences,Arctic,Musculoskeletal
3203 Dentistry,Arthritis,Neurological
3204 Immunology,Assistive Technology,Oral and gastrointestinal
3205 Medical Biochemistry and Metabolomics,Asthma,Renal and urogenital
3206 Medical Biotechnology,Atherosclerosis,Reproductive health and childbirth
3207 Medical Microbiology,Attention Deficit Hyperactivity Disorder (ADHD),Respiratory
3208 Medical Physiology,Autism,Skin
3209 Neurosciences,Autoimmune Disease,Stroke
3210 Nutrition and Dietetics,Back Pain,
3211 Oncology and Carcinogenesis,Basic Behavioral and Social Science,
3212 Ophthalmology and Optometry,Behavioral and Social Science,
3213 Paediatrics,Biodefense,
3214 Pharmacology and Pharmaceutical Sciences,Bioengineering,
3215 Reproductive Medicine,Biomedical Imaging,
33 Built Environment and Design,Biotechnology,
3301 Architecture,Bipolar Disorder,
3302 Building,Brain Cancer,
3303 Design,Brain Disorders,
34 Chemical Sciences,Breast Cancer,
3401 Analytical Chemistry,"Breastfeeding, Lactation and Breast Milk",
3404 Medicinal and Biomolecular Chemistry,Burden of Illness,
3406 Physical Chemistry,Cancer,
"35 Commerce, Management, Tourism and Services",Cancer Genomics,
3505 Human Resources and Industrial Relations,Cannabinoid Research,
"3507 Strategy, Management and Organisational Behaviour",Cardiovascular,
36 Creative Arts and Writing,Caregiving Research,
3602 Creative and Professional Writing,Cerebral Palsy,
3603 Music,Cerebrovascular,
38 Economics,Cervical Cancer,
3801 Applied Economics,Child Abuse and Neglect Research,
39 Education,Childhood Injury,
3901 Curriculum and Pedagogy,Childhood Leukemia,
"3902 Education Policy, Sociology and Philosophy",Childhood Obesity,
3903 Education Systems,Chronic Fatigue Syndrome (ME/CFS),
3904 Specialist Studies In Education,Chronic Liver Disease and Cirrhosis,
40 Engineering,Chronic Obstructive Pulmonary Disease,
4002 Automotive Engineering,Chronic Pain,
4003 Biomedical Engineering,Climate Change,
4004 Chemical Engineering,Climate-Related Exposures and Conditions,
4005 Civil Engineering,Clinical Research,
4006 Communications Engineering,Clinical Trials and Supportive Activities,
"4007 Control Engineering, Mechatronics and Robotics",Cocaine,
"4009 Electronics, Sensors and Digital Hardware",Colo-Rectal Cancer,
4010 Engineering Practice and Education,Comparative Effectiveness Research,
4013 Geomatic Engineering,Complementary and Integrative Health,
41 Environmental Sciences,Conditions Affecting the Embryonic and Fetal Periods,
4102 Ecological Applications,Congenital Heart Disease,
4105 Pollution and Contamination,Congenital Structural Anomalies,
42 Health Sciences,Contraception/Reproduction,
4201 Allied Health and Rehabilitation Science,Coronaviruses,
4202 Epidemiology,Coronaviruses Diagnostics and Prognostics,
4203 Health Services and Systems,Coronaviruses Disparities and At-Risk Populations,
4204 Midwifery,Coronaviruses Therapeutics and Interventions,
4205 Nursing,Coronaviruses Vaccines,
4206 Public Health,Cost Effectiveness Research,
4207 Sports Science and Exercise,Crohn's Disease,
"4208 Traditional, Complementary and Integrative Medicine",Data Science,
"43 History, Heritage and Archaeology",Dementia,
4301 Archaeology,Dental/Oral and Craniofacial Disease,
44 Human Society,Depression,
4401 Anthropology,Diabetes,
4402 Criminology,Dietary Supplements,
4403 Demography,Digestive Diseases,
4404 Development Studies,Digestive Diseases - (Gallbladder),
4405 Gender Studies,Digestive Diseases - (Peptic Ulcer),
4406 Human Geography,Dissemination and Implementation Research,
4407 Policy and Administration,Down Syndrome,
4408 Political Science,Drug Abuse (NIDA only),
4409 Social Work,Eating Disorders,
4410 Sociology,Eczema / Atopic Dermatitis,
46 Information and Computing Sciences,Emergency Care,
4601 Applied Computing,Emerging Infectious Diseases,
4602 Artificial Intelligence,Emphysema,
4603 Computer Vision and Multimedia Computation,Epilepsy,
4604 Cybersecurity and Privacy,Esophageal Cancer,
4605 Data Management and Data Science,Estrogen,
"4607 Graphics, Augmented Reality and Games",Eye Disease and Disorders of Vision,
4608 Human-Centred Computing,Fibroid Tumors (Uterine),
4609 Information Systems,Fibromyalgia,
4610 Library and Information Studies,Firearms Research,
4611 Machine Learning,Foodborne Illness,
4612 Software Engineering,Gene Therapy,
4613 Theory Of Computation,Genetic Testing,
"47 Language, Communication and Culture",Genetics,
4701 Communication and Media Studies,HIV/AIDS,
4703 Language Studies,HPV and/or Cervical Cancer Vaccines,
4704 Linguistics,Harm Reduction for Substance Misuse,
48 Law and Legal Studies,Headaches,
4804 Law In Context,Health Disparities,
4805 Legal Systems,Health Disparities and Racial or Ethnic Minority Health Research,
4806 Private Law and Civil Obligations,Health Effects of Indoor Air Pollution,
49 Mathematical Sciences,Health Services,
4901 Applied Mathematics,Hearing Loss,
4902 Mathematical Physics,Heart Disease,
4903 Numerical and Computational Mathematics,Heart Disease - Coronary Heart Disease,
4905 Statistics,Hematology,
50 Philosophy and Religious Studies,Hepatitis,
5001 Applied Ethics,Hepatitis - B,
5002 History and Philosophy Of Specific Fields,Hepatitis - C,
5004 Religious Studies,Hodgkin's Disease,
51 Physical Sciences,Homelessness,
5105 Medical and Biological Physics,Human Genome,
52 Psychology,Huntington's Disease,
5201 Applied and Developmental Psychology,Hyperbaric Oxygen,
5202 Biological Psychology,Hypertension,
5203 Clinical and Health Psychology,Immunization,
5204 Cognitive and Computational Psychology,Immunotherapy,
5205 Social and Personality Psychology,Infant Mortality,
,Infectious Diseases,
,Infertility,
,Inflammatory Bowel Disease,
,Influenza,
,Intellectual and Developmental Disabilities (IDD),
,Interstitial Cystitis,
,Kidney Disease,
,Lewy Body Dementia,
,Liver Cancer,
,Liver Disease,
,Lung,
,Lung Cancer,
,Lupus,
,Lymphatic Research,
,Lymphoma,
,Machine Learning and Artificial Intelligence,
,Macular Degeneration,
,Major Depressive Disorder,
,Maternal Health,
,Maternal Morbidity and Mortality,
,Menopause,
,Mental Health,
,Mental Illness,
,Methamphetamine,
,Microbiome,
,Migraines,
,Minority Health,
,Multiple Sclerosis,
,Nanotechnology,
,Neck Pain,
,Networking and Information Technology R&D (NITRD),
,Neurodegenerative,
,Neurosciences,
,Nutrition,
,Obesity,
,Opioid Misuse and Addiction,
,Opioids,
,Organ Transplantation,
,Orphan Drug,
,Osteoarthritis,
,Osteoporosis,
,Otitis Media,
,Ovarian Cancer,
,Paget's Disease,
,Pain Research,
,Pancreatic Cancer,
,Parkinson's Disease,
,Patient Safety,
,Pediatric Cancer,
,Pediatric Research Initiative,
,Perinatal Period - Conditions Originating in Perinatal Period,
,Peripheral Neuropathy,
,Physical Activity,
,Physical Injury - Accidents and Adverse Effects,
,Physical Rehabilitation,
,Pneumonia,
,Pneumonia & Influenza,
,Post-Acute Sequelae of SARS-CoV-2 infection (PASC) including Long COVID,
,Post-Traumatic Stress Disorder (PTSD),
,Precision Medicine,
,Pregnancy,
,Prescription Drug Abuse,
,Prevention,
,Primary Health Care,
,Prostate Cancer,
,Psoriasis,
,Pulmonary Hypertension,
,Radiation Oncology,
,Rare Diseases,
,Regenerative Medicine,
,Rehabilitation,
,Rheumatoid Arthritis,
,Rural Health,
,Sarcopenia,
,Schizophrenia,
,Scleroderma,
,Screening And Brief Intervention For Substance Abuse,
,Sepsis,
,Serious Mental Illness,
,Sexual and Gender Minorities (SGM/LGBT*),
,Sexually Transmitted Infections,
,Sickle Cell Disease,
,Sleep Research,
,Social Determinants of Health,
,Spinal Cord Injury,
,Stem Cell Research,
,Stem Cell Research - Embryonic - Human,
,Stem Cell Research - Embryonic - Non-Human,
,Stem Cell Research - Induced Pluripotent Stem Cell,
,Stem Cell Research - Induced Pluripotent Stem Cell - Human,
,Stem Cell Research - Nonembryonic - Human,
,Stem Cell Research - Nonembryonic - Non-Human,
,Stimulant Use and Misuse,
,Stomach Cancer,
,Stroke,
,Substance Abuse Prevention,
,Substance Misuse,
,Suicide,
,Suicide Prevention,
,Teenage Pregnancy,
,Telehealth,
,Temporomandibular Muscle/Joint Disorder (TMJD),
,Tobacco,
,Tobacco Smoke and Health,
,Tourette Syndrome,
,Transplantation,
,Traumatic Brain Injury (TBI),
,Traumatic Head and Spine Injury,
,Tuberculosis,
,Underage Drinking,
,Underage Drinking - Prevention & Treatment (NIAAA Only),
,Unintentional Childhood Injury,
,Urologic Diseases,
,Uterine Cancer,
,Vaccine Related,
,Vaccine Related (AIDS),
,Valley Fever,
,Vascular Cognitive Impairment/Dementia,
,Violence Against Women,
,Violence Research,
,Women's Health,
,Wound Healing and Care,
,Youth Violence,
,Youth Violence Prevention,
