Facility,Alias,Type
Alaska VA HCS,Alaska VA HCS (Not in VA Dimensions),source_observed
Alaska VA HCS,Alaska VA HCS,canonical
Albany Stratton VA Medical Center,Albany Stratton VA Medical Center,canonical
Amarillo VA Health Care System,Amarillo VA Health Care System,canonical
Atlanta VA Health Care System,Atlanta VA Medical Center,source_observed
Atlanta VA Health Care System,Atlanta VA Health Care System,canonical
Audie L. Murphy Memorial VA Hospital,VA South Texas Health Care System,source_observed
Audie L. Murphy Memorial VA Hospital,Audie L. Murphy Memorial VA Hospital,canonical
Baltimore VA Medical Center,Perry Point VA Medical Center,source_observed
Baltimore VA Medical Center,VA Maryland Health Care System,source_observed
Baltimore VA Medical Center,Baltimore VA Medical Center,canonical
Battle Creek VA Medical Center,Battle Creek VA Medical Center,canonical
Birmingham VA Medical Center,Birmingham VA Medical Center,canonical
Boise VA Medical Center,Boise VA Medical Center,canonical
C.W. Bill Young VA Medical Center,Bay Pines VA Healthcare System,source_observed
C.W. Bill Young VA Medical Center,C.W. Bill Young VA Medical Center,canonical
Canandaigua VA Medical Center,VA Finger Lakes Healthcare System,source_observed
Canandaigua VA Medical Center,Canandaigua VA Medical Center,canonical
Carl Vinson VA Medical Center,Carl Vinson VA Medical Center,canonical
Central Alabama Veterans Health Care System,Central Alabama Veterans Health Care System,canonical
Central Arkansas Veterans Healthcare System,John L. McClellan Memorial Veterans Hospital (includes Eugene J. Towbin),source_observed
Central Arkansas Veterans Healthcare System,Central Arkansas Veterans Healthcare System,canonical
Central Texas Veterans Health Care System,"Olin E. Teague VA Medical Center (Temple, TX)",source_observed
Central Texas Veterans Health Care System,Central Texas Veterans Health Care System,canonical
Charles George VA Medical Center,"Charles George VA Medical Center (Asheville, NC)",source_observed
Charles George VA Medical Center,Charles George VA Medical Center,canonical
Charlie Norwood VA Medical Center,"Charlie Norwood VA Medical Center (Augusta, GA)",source_observed
Charlie Norwood VA Medical Center,Charlie Norwood VA Medical Center,canonical
Chillicothe VA Medical Center,Chillicothe VA Medical Center,canonical
Cincinnati VA Medical Center,Cincinnati VA Medical Center,canonical
Coatesville Veterans Affairs Medical Center,Coatesville Veterans Affairs Medical Center,canonical
Dayton VA Medical Center,Dayton VA Medical Center,canonical
Doris Miller VA Medical Center,"Doris Miller VA Medical Center (Waco, TX)",source_observed
Doris Miller VA Medical Center,Doris Miller VA Medical Center,canonical
Durham VA Medical Center,Durham VA Health Care System,source_observed
Durham VA Medical Center,Durham VA Medical Center,canonical
Eastern Oklahoma VA Health Care System,Jack C. Montgomery VA Medical Center,source_observed
Eastern Oklahoma VA Health Care System,Eastern Oklahoma VA Health Care System,canonical
Edith Nourse Rogers Memorial Veterans Hospital,"VA Bedford Healthcare System (Bedford, MA)",source_observed
Edith Nourse Rogers Memorial Veterans Hospital,Edith Nourse Rogers Memorial Veterans Hospital,canonical
"Edward Hines, Jr. VA Hospital","Edward Hines, Jr. VA Hospital",canonical
El Paso VA Health Care System,El Paso VA Health Care System,canonical
Fargo VA Health Care System,Fargo VA Health Care System,canonical
G.V. (Sonny) Montgomery VA Medical Center,"G.V. (Sonny) Montgomery VA Medical Center (Jackson, MS)",source_observed
G.V. (Sonny) Montgomery VA Medical Center,G.V. (Sonny) Montgomery VA Medical Center,canonical
Hampton VA Medical Center,Hampton VA Medical Center,canonical
Harry S. Truman Memorial Veterans' Hospital,"Harry S. Truman Memorial Veterans' Hospital (Columbia, MO)",source_observed
Harry S. Truman Memorial Veterans' Hospital,Harry S. Truman Memorial Veterans' Hospital,canonical
Hershel Woody Williams VA Medical Center,"Hershel Woody Williams VA Medical Center (Huntington, WV)",source_observed
Hershel Woody Williams VA Medical Center,Hershel Woody Williams VA Medical Center,canonical
Hunter Holmes McGuire VA Medical Center,"Hunter Holmes McGuire VA Medical Center (Richmond, VA)",source_observed
Hunter Holmes McGuire VA Medical Center,Hunter Holmes McGuire VA Medical Center,canonical
Iowa City VA Health Care System,Iowa City VA Medical Center,source_observed
Iowa City VA Health Care System,Iowa City VA Health Care System,canonical
James A. Haley Veterans' Hospital,"James A. Haley Veterans' Hospital (Tampa, FL)",source_observed
James A. Haley Veterans' Hospital,James A. Haley Veterans' Hospital,canonical
James J. Peters VA Medical Center,"James J. Peters VA Medical Center (includes East Orange, Bronx)",source_observed
James J. Peters VA Medical Center,James J. Peters VA Medical Center,canonical
Jesse Brown VA Medical Center,"Jesse Brown VA Medical Center (Chicago, IL)",source_observed
