authority_key,canonical_name,search_stem,total_hits,records_fetched,unique_affiliations,truncated,error
va-station:463,Alaska VA HCS,Alaska,81,81,5,false,
va-station:528a8,Albany Stratton VA Medical Center,Albany Stratton,33,33,33,false,
va-station:504,Amarillo VA Health Care System,Amarillo,18,18,5,false,
va-station:508,Atlanta VA Health Care System,Atlanta,3237,200,96,true,
va-station:671,Audie L. Murphy Memorial VA Hospital,Audie L. Murphy Memorial,19,19,14,false,
va-station:512,Baltimore VA Medical Center,Baltimore,3956,200,21,true,
va-station:515,Battle Creek VA Medical Center,Battle Creek,9,9,7,false,
va-station:521,Birmingham VA Medical Center,Birmingham,2063,200,70,true,
va-station:531,Boise VA Medical Center,Boise,132,132,64,false,
va-station:516,C.W. Bill Young VA Medical Center,C.W. Bill Young,4,4,3,false,
va-station:532,Canandaigua VA Medical Center,Canandaigua,123,123,109,false,
va-station:557,Carl Vinson VA Medical Center,Carl Vinson,4,4,3,false,
va-station:619a4,Central Alabama Veterans Health Care System,Central Alabama Veterans,1,1,1,false,
va-station:598,Central Arkansas Veterans Healthcare System,Central Arkansas Veterans,151,151,92,false,
va-station:674,Central Texas Veterans Health Care System,Central Texas Veterans,80,80,57,false,
va-station:637,Charles George VA Medical Center,Charles George,18,18,18,false,
va-station:509,Charlie Norwood VA Medical Center,Charlie Norwood,153,153,126,false,
va-station:538,Chillicothe VA Medical Center,Chillicothe,6,6,4,false,
va-station:539,Cincinnati VA Medical Center,Cincinnati,1116,200,19,true,
va-station:542,Coatesville Veterans Affairs Medical Center,Coatesville,12,12,14,false,
va-station:552,Dayton VA Medical Center,Dayton,162,162,61,false,
va-station:674a4,Doris Miller VA Medical Center,Doris Miller,7,7,7,false,
va-station:558,Durham VA Medical Center,Durham,3600,200,113,true,
va-station:623,Eastern Oklahoma VA Health Care System,Eastern Oklahoma,4,4,5,false,
va-station:518,Edith Nourse Rogers Memorial Veterans Hospital,Edith Nourse Rogers Memorial Veterans,13,13,5,false,
va-station:578,"Edward Hines, Jr. VA Hospital","Edward Hines, Jr.",298,200,207,true,
va-station:756,El Paso VA Health Care System,El Paso,115,115,8,false,
