facility_id,authority_key,canonical_name,facility_kind,research_active_status,city,state_code,country_code,lifecycle_status,facility_valid_from,facility_valid_to,alias,normalized_alias,alias_kind,alias_review_status,alias_confidence,alias_valid_from,alias_valid_to,identifier_namespace,identifier_value,identifier_is_primary,identifier_valid_from,identifier_valid_to,identifier_source,alias_evidence_count
10,va-station:463,Alaska VA HCS,campus,unknown,,,US,active,,,Alaska VA HCS,alaska va hcs,canonical,pending,,,,va_station,463,1,,,legacy_vamc_reference,2
10,va-station:463,Alaska VA HCS,campus,unknown,,,US,active,,,Alaska VA HCS (Not in VA Dimensions),alaska va hcs not in va dimensions,source_observed,pending,,,,va_station,463,1,,,legacy_vamc_reference,2
111,va-station:528a8,Albany Stratton VA Medical Center,campus,unknown,,,US,active,,,Albany Stratton VA Medical Center,albany stratton va medical center,canonical,pending,,,,va_station,528A8,1,,,legacy_vamc_reference,2
13,va-station:504,Amarillo VA Health Care System,campus,unknown,,,US,active,,,Amarillo VA Health Care System,amarillo va health care system,canonical,pending,,,,va_station,504,1,,,legacy_vamc_reference,2
15,va-station:508,Atlanta VA Health Care System,campus,unknown,,,US,active,,,Atlanta VA Health Care System,atlanta va health care system,canonical,pending,,,,va_station,508,1,,,legacy_vamc_reference,2
15,va-station:508,Atlanta VA Health Care System,campus,unknown,,,US,active,,,Atlanta VA Medical Center,atlanta va medical center,source_observed,pending,,,,va_station,508,1,,,legacy_vamc_reference,2
95,va-station:671,Audie L. Murphy Memorial VA Hospital,campus,unknown,,,US,active,,,Audie L. Murphy Memorial VA Hospital,audie l murphy memorial va hospital,canonical,pending,,,,va_station,671,1,,,legacy_vamc_reference,2
95,va-station:671,Audie L. Murphy Memorial VA Hospital,campus,unknown,,,US,active,,,VA South Texas Health Care System,va south texas health care system,source_observed,pending,,,,va_station,671,1,,,legacy_vamc_reference,2
17,va-station:512,Baltimore VA Medical Center,campus,unknown,,,US,active,,,Baltimore VA Medical Center,baltimore va medical center,canonical,pending,,,,va_station,512,1,,,legacy_vamc_reference,2
17,va-station:512,Baltimore VA Medical Center,campus,unknown,,,US,active,,,Perry Point VA Medical Center,perry point va medical center,source_observed,pending,,,,va_station,512,1,,,legacy_vamc_reference,2
17,va-station:512,Baltimore VA Medical Center,campus,unknown,,,US,active,,,VA Maryland Health Care System,va maryland health care system,source_observed,pending,,,,va_station,512,1,,,legacy_vamc_reference,2
18,va-station:515,Battle Creek VA Medical Center,campus,unknown,,,US,active,,,Battle Creek VA Medical Center,battle creek va medical center,canonical,pending,,,,va_station,515,1,,,legacy_vamc_reference,2
21,va-station:521,Birmingham VA Medical Center,campus,unknown,,,US,active,,,Birmingham VA Medical Center,birmingham va medical center,canonical,pending,,,,va_station,521,1,,,legacy_vamc_reference,2
26,va-station:531,Boise VA Medical Center,campus,unknown,,,US,active,,,Boise VA Medical Center,boise va medical center,canonical,pending,,,,va_station,531,1,,,legacy_vamc_reference,2
19,va-station:516,C.W. Bill Young VA Medical Center,campus,unknown,,,US,active,,,C.W. Bill Young VA Medical Center,c w bill young va medical center,canonical,pending,,,,va_station,516,1,,,legacy_vamc_reference,2
19,va-station:516,C.W. Bill Young VA Medical Center,campus,unknown,,,US,active,,,Bay Pines VA Healthcare System,bay pines va healthcare system,source_observed,pending,,,,va_station,516,1,,,legacy_vamc_reference,2
27,va-station:532,Canandaigua VA Medical Center,campus,unknown,,,US,active,,,Canandaigua VA Medical Center,canandaigua va medical center,canonical,pending,,,,va_station,532,1,,,legacy_vamc_reference,2
27,va-station:532,Canandaigua VA Medical Center,campus,unknown,,,US,active,,,Canandaigua VA Medical Center,canandaigua va medical center,canonical,pending,,,,va_station,528A5,0,,,legacy_vamc_reference,2
27,va-station:532,Canandaigua VA Medical Center,campus,unknown,,,US,active,,,VA Finger Lakes Healthcare System,va finger lakes healthcare system,source_observed,pending,,,,va_station,532,1,,,legacy_vamc_reference,2
27,va-station:532,Canandaigua VA Medical Center,campus,unknown,,,US,active,,,VA Finger Lakes Healthcare System,va finger lakes healthcare system,source_observed,pending,,,,va_station,528A5,0,,,legacy_vamc_reference,2
43,va-station:557,Carl Vinson VA Medical Center,campus,unknown,,,US,active,,,Carl Vinson VA Medical Center,carl vinson va medical center,canonical,pending,,,,va_station,557,1,,,legacy_vamc_reference,2
116,va-station:619a4,Central Alabama Veterans Health Care System,campus,unknown,,,US,active,,,Central Alabama Veterans Health Care System,central alabama veterans health care system,canonical,pending,,,,va_station,619A4,1,,,legacy_vamc_reference,2
115,va-station:598,Central Arkansas Veterans Healthcare System,campus,unknown,,,US,active,,,Central Arkansas Veterans Healthcare System,central arkansas veterans healthcare system,canonical,pending,,,,va_station,598,1,,,legacy_vamc_reference,2
115,va-station:598,Central Arkansas Veterans Healthcare System,campus,unknown,,,US,active,,,Central Arkansas Veterans Healthcare System,central arkansas veterans healthcare system,canonical,pending,,,,va_station,598NLR,0,,,legacy_vamc_reference,2
115,va-station:598,Central Arkansas Veterans Healthcare System,campus,unknown,,,US,active,,,John L. McClellan Memorial Veterans Hospital (includes Eugene J. Towbin),john l mcclellan memorial veterans hospital includes eugene j towbin,source_observed,pending,,,,va_station,598,1,,,legacy_vamc_reference,2
115,va-station:598,Central Arkansas Veterans Healthcare System,campus,unknown,,,US,active,,,John L. McClellan Memorial Veterans Hospital (includes Eugene J. Towbin),john l mcclellan memorial veterans hospital includes eugene j towbin,source_observed,pending,,,,va_station,598NLR,0,,,legacy_vamc_reference,2
98,va-station:674,Central Texas Veterans Health Care System,campus,unknown,,,US,active,,,Central Texas Veterans Health Care System,central texas veterans health care system,canonical,pending,,,,va_station,674,1,,,legacy_vamc_reference,2
98,va-station:674,Central Texas Veterans Health Care System,campus,unknown,,,US,active,,,"Olin E. Teague VA Medical Center (Temple, TX)",olin e teague va medical center temple tx,source_observed,pending,,,,va_station,674,1,,,legacy_vamc_reference,2
77,va-station:637,Charles George VA Medical Center,campus,unknown,,,US,active,,,Charles George VA Medical Center,charles george va medical center,canonical,pending,,,,va_station,637,1,,,legacy_vamc_reference,2
77,va-station:637,Charles George VA Medical Center,campus,unknown,,,US,active,,,"Charles George VA Medical Center (Asheville, NC)",charles george va medical center asheville nc,source_observed,pending,,,,va_station,637,1,,,legacy_vamc_reference,2
16,va-station:509,Charlie Norwood VA Medical Center,campus,unknown,,,US,active,,,Charlie Norwood VA Medical Center,charlie norwood va medical center,canonical,pending,,,,va_station,509,1,,,legacy_vamc_reference,2
16,va-station:509,Charlie Norwood VA Medical Center,campus,unknown,,,US,active,,,"Charlie Norwood VA Medical Center (Augusta, GA)",charlie norwood va medical center augusta ga,source_observed,pending,,,,va_station,509,1,,,legacy_vamc_reference,2
30,va-station:538,Chillicothe VA Medical Center,campus,unknown,,,US,active,,,Chillicothe VA Medical Center,chillicothe va medical center,canonical,pending,,,,va_station,538,1,,,legacy_vamc_reference,2
31,va-station:539,Cincinnati VA Medical Center,campus,unknown,,,US,active,,,Cincinnati VA Medical Center,cincinnati va medical center,canonical,pending,,,,va_station,539,1,,,legacy_vamc_reference,2
33,va-station:542,Coatesville Veterans Affairs Medical Center,campus,unknown,,,US,active,,,Coatesville Veterans Affairs Medical Center,coatesville veterans affairs medical center,canonical,pending,,,,va_station,542,1,,,legacy_vamc_reference,2
40,va-station:552,Dayton VA Medical Center,campus,unknown,,,US,active,,,Dayton VA Medical Center,dayton va medical center,canonical,pending,,,,va_station,552,1,,,legacy_vamc_reference,2
121,va-station:674a4,Doris Miller VA Medical Center,campus,unknown,,,US,active,,,Doris Miller VA Medical Center,doris miller va medical center,canonical,pending,,,,va_station,674A4,1,,,legacy_vamc_reference,2
121,va-station:674a4,Doris Miller VA Medical Center,campus,unknown,,,US,active,,,"Doris Miller VA Medical Center (Waco, TX)",doris miller va medical center waco tx,source_observed,pending,,,,va_station,674A4,1,,,legacy_vamc_reference,2
